,type,date,title,author,url,is_twitter,raw_desc,truth_value,tags,is_blog_desc,is_blog_cat,is_blog,annotated_column,raw_url,twitter_handle,n_followers,problem
192,Rick Scott,10/31/23,Rainbow fentanyl is a threat to children on Halloween.,Sara Swann,https://www.politifact.com/factchecks/2023/oct/31/rick-scott/rick-scott-warns-about-fentanyl-in-halloween-candy/,1,"stated on October 31, 2023 in an X post:",FALSE,"['Corrections and Updates', 'Drugs', 'Food Safety', 'Florida', 'Rick Scott']",0,0,0,elected_rep,https://twitter.com/SenRickScott/status/1719358466974745008,SenRickScott,451055,0
207,Steve Kirsch,10/27/23,“The FDA is required to take the COVID vaccines off the market” because they are “adulterated.”,Madison Czopek,https://www.politifact.com/factchecks/2023/oct/27/steve-kirsch/experts-rebut-claims-that-mrna-covid-19-vaccines-a/,1,"stated on October 21, 2023 in a post on X:",FALSE,"['Science', 'Coronavirus', 'Steve Kirsch']",0,0,0,,https://twitter.com/stkirsch/status/1715820838564593745,stkirsch,450066,0
543,Steve Kirsch,8/14/23,"COVID-19 vaccines have killed 676,000 Americans.",Tom Kertscher,https://www.politifact.com/factchecks/2023/aug/14/steve-kirsch/activist-misuses-federal-data-to-make-pants-on-fir/,0,"stated on August 8, 2023 in a blog post:",pants-fire,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Steve Kirsch']",1,0,1,,https://kirschsubstack.com/p/vaers-data-is-crystal-clear-the-covid,stkirsch,450066,0
624,X posts,7/24/23,ESPN soccer analyst Shaka Hislop collapsed on air because of the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2023/jul/24/tweets/unfounded-claims-blaming-covid-vaccine-for-espn-an/,1,"stated on July 24, 2023 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://twitter.com/BGatesIsaPyscho/status/1683364517684695041,BGatesIsaPyscho,124740,0
1234,Bloggers,3/9/23,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2023/mar/09/blog-posting/no-vladimir-putin-didnt-order-covid-19-vaccines-to/,0,"stated on March 4, 2023 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Russia', 'Bloggers']",1,1,1,ensure matched accnt,https://realrawnews.com/2023/03/putin-orders-destruction-of-all-covid-19-vaccines-in-russia/,RealRawNews1,41247,0
1346,Lauren Boebert,2/8/23,Joe Biden closed schools during the COVID-19 pandemic.,Amy Sherman,https://www.politifact.com/factchecks/2023/feb/08/lauren-boebert/lauren-boebert-said-joe-biden-closed-schools-heres/,1,"stated on February 7, 2023 in a tweet:",FALSE,"['National', 'Education', 'Coronavirus', 'Lauren Boebert']",0,0,0,elected_rep,https://twitter.com/laurenboebert/status/1623153238928240643,laurenboebert,3144450,0
1359,X posts,2/6/23,Diamond and Silk pundit died from COVID-19,Paul Specht,https://www.politifact.com/factchecks/2023/feb/06/tweets/unverified-rumors-swirl-around-diamond-and-silk-pu/,1,"stated on January 24, 2023 in a tweet:",FALSE,"['North Carolina', 'Coronavirus', 'X posts']",0,0,0,,https://twitter.com/TalbertSwan/status/1612690509159436288,TalbertSwan,208282,0
1484,Liz Wheeler,1/5/23,"There have been “1,598 athlete cardiac arrests since Jan 2021. 69% fatal.""",Samantha Putterman,https://www.politifact.com/factchecks/2023/jan/05/liz-wheeler/online-activists-use-faulty-data-to-claim-cardiac/,1,"stated on January 3, 2023 in a Tweet:",FALSE,"['Public Health', 'Sports', 'Facebook Fact-checks', 'Coronavirus', 'Liz Wheeler']",0,0,0,,https://twitter.com/Liz_Wheeler/status/1610309998244171776,Liz_Wheeler,944794,0
1514,X posts,12/15/22,Stephen Boss died because of the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/dec/15/tweets/tephen-twitch-boss-didnt-die-because-of-the-covid/,1,"stated on December 14, 2022 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://twitter.com/broktokchikhok/status/1603065577744044036,broktokchikhok,1289,0
1664,Kari Lake,11/8/22,"The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”",Alexis Waiss,https://www.politifact.com/factchecks/2022/nov/09/kari-lake/kari-lake-says-falsely-covid-19-vaccines-are-ineff/,1,"stated on October 19, 2022 in a tweet:",FALSE,"['Elections', 'Coronavirus', 'Arizona', 'Kari Lake']",0,0,0,elected_rep; in video,https://twitter.com/KariLake/status/1582816744363552768?t=28aOz2rXnbfdSiSD-PaqnQ,KariLake,1693442,0
1749,J.D. Vance,10/31/22,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,Amy Sherman,https://www.politifact.com/factchecks/2022/oct/31/jd-vance/vance-wrongly-says-ryan-wanted-decriminalize-fenta/,1,"stated on October 26, 2022 in a tweet:",pants-fire,"['Congress', 'Drugs', 'Elections', 'J.D. Vance']",0,0,0,elected_rep,https://twitter.com/JDVance1/status/1585252643618041856,JDVance1,420846,0
2042,X posts,9/8/22,Queen Elizabeth died because of the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/sep/08/tweets/claims-queen-elizabeth-died-because-covid-19-vacci/,1,"stated on September 8, 2022 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://twitter.com/Republican4Li10/status/1567923452237205505,Republican4Li10,50,0
2106,Bloggers,8/24/22,"In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”",Sara Swann,https://www.politifact.com/factchecks/2022/aug/24/blog-posting/no-evidence-covid-19-vaccine-increasing-child-mort/,0,"stated on July 27, 2022 in a blog post:",FALSE,"['Children', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://expose-news.com/2022/07/27/uk-gov-vaccinated-children-increased-mortality/,exthepose,7760,0
2204,National Republican Congressional Committee,8/1/22,“Abigail Spanberger is raking in thousands from defund the police groups because she supports defunding the police.”,Warren Fiske,https://www.politifact.com/factchecks/2022/aug/01/national-republican-congressional-committee/national-republican-group-falsely-claims-spanberge/,0,"stated on July 18, 2022 in a blog.:",FALSE,"['Abortion', 'Public Safety', 'Virginia', 'National Republican Congressional Committee']",1,0,1,elected_rep,https://nrcc.org/2022/07/18/spanberger-funded-by-defund-the-police-group/,NRCC,98337,0
